show_id,type,title,date_added,release_year,rating,monthly_code,duration
s1,Movie,Dick Johnson Is Dead,Sep-25-2021,2020,PG-13,Sep,90 min
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Sep-22-2021,2021,TV-14,Sep,1 Season
s22,TV Show,Resurrection: Ertugrul,Sep-22-2021,2018,TV-14,Sep,5 Seasons
s23,Movie,Avvai Shanmughi,Sep-21-2021,1996,TV-PG,Sep,161 min
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,Sep-21-2021,2021,TV-Y,Sep,61 min
s25,Movie,Jeans,Sep-21-2021,1998,TV-14,Sep,166 min
s26,TV Show,Love on the Spectrum,Sep-21-2021,2021,TV-14,Sep,2 Seasons
s27,Movie,Minsara Kanavu,Sep-21-2021,1997,TV-PG,Sep,147 min
s28,Movie,Grown Ups,Sep-20-2021,2010,PG-13,Sep,103 min
s29,Movie,Dark Skies,Sep-19-2021,2013,PG-13,Sep,97 min
s30,Movie,Paranoia,Sep-19-2021,2013,PG-13,Sep,106 min
s31,Movie,Ankahi Kahaniya,Sep-17-2021,2021,TV-14,Sep,111 min
s32,TV Show,Chicago Party Aunt,Sep-17-2021,2021,TV-MA,Sep,1 Season
s33,TV Show,Sex Education,Sep-17-2021,2020,TV-MA,Sep,3 Seasons
s34,TV Show,Squid Game,Sep-17-2021,2021,TV-MA,Sep,1 Season
s35,TV Show,Tayo and Little Wizards,Sep-17-2021,2020,TV-Y7,Sep,1 Season
s36,Movie,The Father Who Moves Mountains,Sep-17-2021,2021,TV-MA,Sep,110 min
s37,Movie,The Stronghold,Sep-17-2021,2021,TV-MA,Sep,105 min
s38,TV Show,Angry Birds,Sep-16-2021,2018,TV-Y7,Sep,1 Season
s39,Movie,Birth of the Dragon,Sep-16-2021,2017,PG-13,Sep,96 min
s40,TV Show,Chhota Bheem,Sep-16-2021,2021,TV-Y7,Sep,3 Seasons
s41,TV Show,He-Man and the Masters of the Universe,Sep-16-2021,2021,TV-Y7,Sep,1 Season
s42,Movie,Jaws,Sep-16-2021,1975,PG,Sep,124 min
s43,Movie,Jaws 2,Sep-16-2021,1978,PG,Sep,116 min
s44,Movie,Jaws 3,Sep-16-2021,1983,PG,Sep,98 min
s45,Movie,Jaws: The Revenge,Sep-16-2021,1987,PG-13,Sep,91 min
s46,Movie,My Heroes Were Cowboys,Sep-16-2021,2021,PG,Sep,23 min
s47,Movie,Safe House,Sep-16-2021,2012,R,Sep,115 min
s48,TV Show,The Smart Money Woman,Sep-16-2021,2020,TV-MA,Sep,1 Season
s49,Movie,Training Day,Sep-16-2021,2001,R,Sep,122 min
s50,TV Show,Castle and Castle,Sep-15-2021,2021,TV-MA,Sep,2 Seasons
s51,TV Show,Dharmakshetra,Sep-15-2021,2014,TV-PG,Sep,1 Season
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Sep-15-2021,2002,TV-14,Sep,99 min
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Sep-15-2021,2003,TV-14,Sep,99 min
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Sep-15-2021,2004,TV-PG,Sep,88 min
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Sep-15-2021,2001,TV-PG,Sep,100 min
s56,TV Show,Nailed It,Sep-15-2021,2021,TV-PG,Sep,6 Seasons
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Sep-15-2021,2011,TV-14,Sep,102 min
s58,Movie,Naruto Shippûden the Movie: Bonds,Sep-15-2021,2008,TV-PG,Sep,93 min
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Sep-15-2021,2009,TV-PG,Sep,96 min
s60,Movie,Naruto Shippuden: The Movie,Sep-15-2021,2007,TV-PG,Sep,95 min
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Sep-15-2021,2010,TV-14,Sep,85 min
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Sep-15-2021,2005,TV-PG,Sep,97 min
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Sep-15-2021,2006,TV-PG,Sep,95 min
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Sep-15-2021,2004,TV-PG,Sep,83 min
s65,Movie,Nightbooks,Sep-15-2021,2021,TV-PG,Sep,103 min
s66,TV Show,Numberblocks,Sep-15-2021,2021,TV-Y,Sep,6 Seasons
s67,TV Show,Raja Rasoi Aur Anya Kahaniyan,Sep-15-2021,2014,TV-G,Sep,1 Season
s68,TV Show,Saved by the Bell,Sep-15-2021,1994,TV-PG,Sep,9 Seasons
s69,Movie,Schumacher,Sep-15-2021,2021,TV-14,Sep,113 min
s70,TV Show,Stories by Rabindranath Tagore,Sep-15-2021,2015,TV-PG,Sep,1 Season
s71,TV Show,Too Hot To Handle: Latino,Sep-15-2021,2021,TV-MA,Sep,1 Season
s72,Movie,A StoryBots Space Adventure,Sep-14-2021,2021,TV-Y,Sep,13 min
s73,TV Show,Jack Whitehall: Travels with My Father,Sep-14-2021,2021,TV-MA,Sep,5 Seasons
s74,Movie,King of Boys,Sep-14-2021,2018,TV-MA,Sep,182 min
s75,TV Show,The World's Most Amazing Vacation Rentals,Sep-14-2021,2021,TV-PG,Sep,2 Seasons
s76,Movie,You vs. Wild: Out Cold,Sep-14-2021,2021,TV-G,Sep,106 min
s77,TV Show,Yowamushi Pedal,Sep-14-2021,2013,TV-14,Sep,1 Season
